"SYMBOL","ENSEMBL","ENTREZID","lengths","logFC","logCPM","F","PValue","FDR"
"EMP3","ENSG00000142227",2014,1667,-5.2559942759864,7.46971268688302,156.543893796737,1.59632421912581e-06,0.0018626615242977
"PTGDS","ENSG00000107317",5730,2378,-6.35033553155186,6.90401729084783,155.430521004235,1.64038055316283e-06,0.0018626615242977
"IL1R1","ENSG00000115594",3554,7083,-5.24650740354417,7.45783824946438,154.89921205892,1.66194039645145e-06,0.0018626615242977
"COL5A2","ENSG00000204262",1290,7156,-5.6602922464149,6.15816413823215,151.300895506266,1.81768241351354e-06,0.0018626615242977
"TAGLN","ENSG00000149591",6876,3917,-4.99592711526235,6.57671548929786,149.425925378373,1.90607749794133e-06,0.0018626615242977
"SMIM22","ENSG00000267795",440335,1762,5.25354548746779,7.78523800976263,144.678865811082,2.15515137815121e-06,0.0018626615242977
"LRP1","ENSG00000123384",4035,20839,-5.37143545517548,5.38595595569408,143.87662073315,2.20118316775079e-06,0.0018626615242977
"DFNA5",NA,NA,9537,-4.55194023768293,4.95726676617538,143.677228959068,2.21281430523428e-06,0.0018626615242977
"NEXN","ENSG00000162614",91624,4624,-5.5871845589815,4.99410110050023,143.593368012395,2.21772913221059e-06,0.0018626615242977
"DSE","ENSG00000111817",29940,11498,-4.50481947457203,5.28223015619428,141.145280034163,2.36741814448291e-06,0.0018626615242977
"EHF","ENSG00000135373",26298,4386,5.38106014001511,5.17665851876912,138.786597644847,2.52378332714622e-06,0.0018626615242977
"ADAMTS9","ENSG00000163638",56999,10693,-5.20081106970107,6.76848197425254,135.736013403883,2.74568661918955e-06,0.0018626615242977
"PVRL4",NA,NA,3509,4.77069241424935,5.82981962550752,135.653376839623,2.75203038965224e-06,0.0018626615242977
"CLDN7","ENSG00000181885",1366,2492,4.51177256466542,6.68306349063789,134.132028464609,2.87216442129179e-06,0.0018626615242977
"BGN","ENSG00000182492",633,2453,-6.49836185525727,5.8627756323983,133.808124622226,2.89858335379103e-06,0.0018626615242977
"TSPAN13","ENSG00000106537",27075,2224,4.44394533469982,7.09489010990116,131.848599444683,3.06506092737565e-06,0.0018626615242977
"PRLR","ENSG00000113494",5618,13208,5.43228639357009,4.86590691047184,131.174880091006,3.12504958771911e-06,0.0018626615242977
"DHRS2","ENSG00000100867",10202,7556,5.31337920557539,7.56915174874878,129.134932935848,3.31586968937472e-06,0.0018626615242977
"TMC5","ENSG00000103534",79838,6393,5.6947089873517,6.96771769575976,128.768189938656,3.35170627112763e-06,0.0018626615242977
"S100A14","ENSG00000189334",57402,1277,4.75894579491991,8.07124940712054,128.759580978417,3.35255330679747e-06,0.0018626615242977
"SAA1","ENSG00000173432",6288,765,-5.99672959032212,7.55508415791174,125.674447810035,3.67415201745777e-06,0.0018626615242977
"DES","ENSG00000175084",1674,2464,-7.39723536195263,6.39989009697551,125.583800539289,3.68417209694465e-06,0.0018626615242977
"MMP2","ENSG00000087245",4313,4933,-6.33473792352366,4.71688280096532,125.55255045979,3.68763437755558e-06,0.0018626615242977
"PITX1","ENSG00000069011",5307,3511,4.87731106142358,5.25635065206146,125.045132039365,3.74442640366215e-06,0.0018626615242977
"TRDC","ENSG00000211829",NA,720,-5.55622016525592,4.69704205051378,124.397084501023,3.81855846389076e-06,0.0018626615242977
"PTGER3","ENSG00000050628",5733,9882,-5.26052391964584,5.21606427915022,124.19093103664,3.84252514550009e-06,0.0018626615242977
"IGF1","ENSG00000017427",3479,8087,-7.08641599987122,3.77560430242385,123.240641885712,3.95546672988572e-06,0.0018626615242977
"MGARP","ENSG00000137463",84709,1339,-6.12185445366388,4.94763378305344,122.181383836848,4.086297407393e-06,0.0018626615242977
"RAB25","ENSG00000132698",57111,1689,5.25133019959846,5.85564485424984,118.927635821307,4.52351244182024e-06,0.0018626615242977
"PROM2","ENSG00000155066",150696,6063,4.52359887875748,5.06447096709051,118.307219407586,4.61341643631959e-06,0.0018626615242977
"SDPR",NA,NA,3229,-6.60075330205996,5.03861012157932,116.88276357936,4.82844259119714e-06,0.0018626615242977
"MT3","ENSG00000087250",4504,1837,-6.57969486744787,5.4274440667431,116.026794196304,4.96369803019283e-06,0.0018626615242977
"ACTA2","ENSG00000107796",59,3027,-6.55571025895997,5.72144794105543,114.459560110951,5.22385776687002e-06,0.0018626615242977
"TACSTD2","ENSG00000184292",4070,2068,4.82892583138561,7.04091175064433,114.378168897937,5.2378291656598e-06,0.0018626615242977
"LOX","ENSG00000113083",4015,5468,-5.74575426290549,7.66214662035727,113.73557988444,5.34979179926503e-06,0.0018626615242977
"ZEB2","ENSG00000169554",9839,17907,-4.5110132186426,4.85650923088501,113.458105857207,5.39906269999803e-06,0.0018626615242977
"EXPH5","ENSG00000110723",23086,10843,4.58028026101915,4.27395795197193,111.110061698072,5.83958757595102e-06,0.0018626615242977
"SBSN","ENSG00000189001",374897,1986,-4.99424395167635,3.80464370857213,110.915524526884,5.87806892393063e-06,0.0018626615242977
"PDE7B","ENSG00000171408",27115,5708,-5.32449794628564,3.43881731605362,110.498335454753,5.96166825169068e-06,0.0018626615242977
"GPC6","ENSG00000183098",10082,6467,-5.90836293686581,4.1005442628579,110.169631956985,6.02858582700958e-06,0.0018626615242977
"GFPT2","ENSG00000131459",9945,4780,-5.74048048176878,5.11766043809802,109.809041306341,6.10307926475101e-06,0.0018626615242977
"DDR2","ENSG00000162733",4921,10730,-4.03411583044668,5.49151322407316,109.517721560047,6.16410464261818e-06,0.0018626615242977
"MRC2",NA,NA,6860,-4.62284641216646,5.42917941578463,108.890398297606,6.29812863263375e-06,0.0018626615242977
"BCAT1","ENSG00000060982",586,10372,-6.37690374555342,5.32543236110519,108.408868276504,6.4034846430125e-06,0.0018626615242977
"UPK3B","ENSG00000243566",105375355,2022,-6.14311413904168,8.19745662297444,107.072322816568,6.70768737268266e-06,0.0018626615242977
